mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
16,8,302,140,4141,14,74,1,"""ford gran torino"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
18.1,6,258,120,3410,15.1,78,1,"""amc concord d/l"""
14,8,350,165,4209,12,71,1,"""chevrolet impala"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
21.1,4,134,95,2515,14.8,78,3,"""toyota celica gt liftback"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
23,4,120,97,2506,14.5,72,3,"""toyouta corona mark ii (sw)"""
19,6,156,108,2930,15.5,76,3,"""toyota mark ii"""
20.6,6,231,105,3380,15.8,78,1,"""buick century special"""
23,8,350,125,3900,17.4,79,1,"""cadillac eldorado"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
34.7,4,105,63,2215,14.9,81,1,"""plymouth horizon 4"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
31,4,79,67,1950,19,74,3,"""datsun b210"""
30,4,135,84,2385,12.9,81,1,"""plymouth reliant"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
18.5,8,360,150,3940,13,79,1,"""chrysler lebaron town @ country (sw)"""
23,4,122,86,2220,14,71,1,"""mercury capri 2000"""
30.9,4,105,75,2230,14.5,78,1,"""dodge omni"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
26,4,156,92,2585,14.5,82,1,"""chrysler lebaron medallion"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
14,8,318,150,4457,13.5,74,1,"""dodge coronet custom (sw)"""
16,8,400,180,4220,11.1,77,1,"""pontiac grand prix lj"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
23,4,140,83,2639,17,75,1,"""ford pinto"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
21,6,199,90,2648,15,70,1,"""amc gremlin"""
20.5,6,231,105,3425,16.9,77,1,"""buick skylark"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
28,4,107,86,2464,15.5,76,2,"""fiat 131"""
15,8,350,145,4082,13,73,1,"""chevrolet monte carlo s"""
28,4,107,86,2464,15.5,76,2,"""fiat 131"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
26,4,98,79,2255,17.7,76,1,"""dodge colt"""
26.6,4,151,84,2635,16.4,81,1,"""buick skylark"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
17,8,305,130,3840,15.4,79,1,"""chevrolet caprice classic"""
14,8,455,225,4425,10,70,1,"""pontiac catalina"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
23,4,120,97,2506,14.5,72,3,"""toyouta corona mark ii (sw)"""
24,4,140,92,2865,16.4,82,1,"""ford fairmont futura"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
37.7,4,89,62,2050,17.3,81,3,"""toyota tercel"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
31,4,76,52,1649,16.5,74,3,"""toyota corona"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
15,6,258,110,3730,19,75,1,"""amc matador"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
22,6,250,105,3353,14.5,76,1,"""chevrolet nova"""
24,4,113,95,2278,15.5,72,3,"""toyota corona hardtop"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
32.3,4,97,67,2065,17.8,81,3,"""subaru"""
18,6,232,100,2945,16,73,1,"""amc hornet"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
36.1,4,91,60,1800,16.4,78,3,"""honda civic cvcc"""
27,4,97,88,2130,14.5,70,3,"""datsun pl510"""
26,4,91,70,1955,20.5,71,1,"""plymouth cricket"""
15,6,250,72,3158,19.5,75,1,"""ford maverick"""
19.2,8,305,145,3425,13.2,78,1,"""chevrolet monte carlo landau"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
19,6,156,108,2930,15.5,76,3,"""toyota mark ii"""
16,8,318,150,4190,13,76,1,"""dodge coronet brougham"""
37,4,119,92,2434,15,80,3,"""datsun 510 hatchback"""
14,8,351,148,4657,13.5,75,1,"""ford ltd"""
34.3,4,97,78,2188,15.8,80,2,"""audi 4000"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
18,6,225,105,3613,16.5,74,1,"""plymouth satellite sebring"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
16.9,8,350,155,4360,14.9,79,1,"""buick estate wagon (sw)"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
29,4,135,84,2525,16,82,1,"""dodge aries se"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
25.5,4,122,96,2300,15.5,77,1,"""plymouth arrow gs"""
19,6,250,100,3282,15,71,1,"""pontiac firebird"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
29,4,135,84,2525,16,82,1,"""dodge aries se"""
28,4,97,92,2288,17,72,3,"""datsun 510 (sw)"""
19.2,6,231,105,3535,19.2,78,1,"""pontiac phoenix lj"""
30.7,6,145,76,3160,19.6,81,2,"""volvo diesel"""
21,4,122,86,2226,16.5,72,1,"""ford pinto runabout"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
25,4,121,115,2671,13.5,75,2,"""saab 99le"""
19.1,6,225,90,3381,18.7,80,1,"""dodge aspen"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
22,4,140,72,2408,19,71,1,"""chevrolet vega (sw)"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
21,4,122,86,2226,16.5,72,1,"""ford pinto runabout"""
37.7,4,89,62,2050,17.3,81,3,"""toyota tercel"""
19.4,8,318,140,3735,13.2,78,1,"""dodge diplomat"""
38,4,91,67,1965,15,82,3,"""honda civic"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
35.7,4,98,80,1915,14.4,79,1,"""dodge colt hatchback custom"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
28,4,90,75,2125,14.5,74,1,"""dodge colt"""
15,6,250,72,3158,19.5,75,1,"""ford maverick"""
20.6,6,231,105,3380,15.8,78,1,"""buick century special"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
12,8,350,180,4499,12.5,73,1,"""oldsmobile vista cruiser"""
21,6,200,85,2587,16,70,1,"""ford maverick"""
24,4,134,96,2702,13.5,75,3,"""toyota corona"""
25,4,113,95,2228,14,71,3,"""toyota corona"""
27.2,4,119,97,2300,14.7,78,3,"""datsun 510"""
30,4,146,67,3250,21.8,80,2,"""mercedes-benz 240d"""
32,4,144,96,2665,13.9,82,3,"""toyota celica gt"""
14,8,351,148,4657,13.5,75,1,"""ford ltd"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
12,8,383,180,4955,11.5,71,1,"""dodge monaco (sw)"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
18,6,250,88,3021,16.5,73,1,"""ford maverick"""
32.1,4,98,70,2120,15.5,80,1,"""chevrolet chevette"""
20.2,6,200,85,2965,15.8,78,1,"""ford fairmont (auto)"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
14,8,304,150,3672,11.5,73,1,"""amc matador"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
26,4,116,75,2246,14,74,2,"""fiat 124 tc"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
29,4,97,78,1940,14.5,77,2,"""volkswagen rabbit custom"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
27,4,97,60,1834,19,71,2,"""volkswagen model 111"""
14,8,302,140,4638,16,74,1,"""ford gran torino (sw)"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
13,8,400,170,4746,12,71,1,"""ford country squire (sw)"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
32.4,4,107,72,2290,17,80,3,"""honda accord"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
34.1,4,91,68,1985,16,81,3,"""mazda glc 4"""
22,4,121,98,2945,14.5,75,2,"""volvo 244dl"""
15.5,8,400,190,4325,12.2,77,1,"""chrysler cordoba"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
14,8,351,153,4154,13.5,71,1,"""ford galaxie 500"""
15,8,350,145,4082,13,73,1,"""chevrolet monte carlo s"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
36,4,79,58,1825,18.6,77,2,"""renault 5 gtl"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
25.4,6,168,116,2900,12.6,81,3,"""toyota cressida"""
34.4,4,98,65,2045,16.2,81,1,"""ford escort 4w"""
18,3,70,90,2124,13.5,73,3,"""maxda rx3"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
35,4,72,69,1613,18,71,3,"""datsun 1200"""
21,6,199,90,2648,15,70,1,"""amc gremlin"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
30.9,4,105,75,2230,14.5,78,1,"""dodge omni"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
24.3,4,151,90,3003,20.1,80,1,"""amc concord"""
23.9,8,260,90,3420,22.2,79,1,"""oldsmobile cutlass salon brougham"""
26.4,4,140,88,2870,18.1,80,1,"""ford fairmont"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
33,4,91,53,1795,17.4,76,3,"""honda civic"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
20,6,198,95,3102,16.5,74,1,"""plymouth duster"""
18,4,121,112,2933,14.5,72,2,"""volvo 145e (sw)"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
17,6,250,100,3329,15.5,71,1,"""chevrolet chevelle malibu"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
31.5,4,98,68,2045,18.5,77,3,"""honda accord cvcc"""
12,8,350,160,4456,13.5,72,1,"""oldsmobile delta 88 royale"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
44,4,97,52,2130,24.6,82,2,"""vw pickup"""
13,8,440,215,4735,11,73,1,"""chrysler new yorker brougham"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
36,4,135,84,2370,13,82,1,"""dodge charger 2.2"""
16,6,258,110,3632,18,74,1,"""amc matador"""
30.7,6,145,76,3160,19.6,81,2,"""volvo diesel"""
34.3,4,97,78,2188,15.8,80,2,"""audi 4000"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
28,4,112,88,2605,19.6,82,1,"""chevrolet cavalier"""
35.7,4,98,80,1915,14.4,79,1,"""dodge colt hatchback custom"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
15.5,8,350,170,4165,11.4,77,1,"""chevrolet monte carlo landau"""
13,8,302,129,3169,12,75,1,"""ford mustang ii"""
13,8,302,129,3169,12,75,1,"""ford mustang ii"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
36,4,135,84,2370,13,82,1,"""dodge charger 2.2"""
18.2,8,318,135,3830,15.2,79,1,"""dodge st. regis"""
28,4,90,75,2125,14.5,74,1,"""dodge colt"""
24.5,4,98,60,2164,22.1,76,1,"""chevrolet woody"""
28,4,112,88,2605,19.6,82,1,"""chevrolet cavalier"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
22,4,121,98,2945,14.5,75,2,"""volvo 244dl"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
12,8,350,180,4499,12.5,73,1,"""oldsmobile vista cruiser"""
14,8,318,150,4237,14.5,73,1,"""plymouth fury gran sedan"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
14,8,351,153,4129,13,72,1,"""ford galaxie 500"""
30,4,146,67,3250,21.8,80,2,"""mercedes-benz 240d"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
17,8,305,130,3840,15.4,79,1,"""chevrolet caprice classic"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
24.2,6,146,120,2930,13.8,81,3,"""datsun 810 maxima"""
29,4,68,49,1867,19.5,73,2,"""fiat 128"""
30.9,4,105,75,2230,14.5,78,1,"""dodge omni"""
14,8,440,215,4312,8.5,70,1,"""plymouth fury iii"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
26,4,91,70,1955,20.5,71,1,"""plymouth cricket"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
19.4,8,318,140,3735,13.2,78,1,"""dodge diplomat"""
29,4,90,70,1937,14,75,2,"""volkswagen rabbit"""
27.2,4,119,97,2300,14.7,78,3,"""datsun 510"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
33.7,4,107,75,2210,14.4,81,3,"""honda prelude"""
38,4,91,67,1995,16.2,82,3,"""datsun 310 gx"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
24.2,6,146,120,2930,13.8,81,3,"""datsun 810 maxima"""
28,4,107,86,2464,15.5,76,2,"""fiat 131"""
28,4,140,90,2264,15.5,71,1,"""chevrolet vega 2300"""
25.5,4,122,96,2300,15.5,77,1,"""plymouth arrow gs"""
21,6,231,110,3039,15,75,1,"""buick skyhawk"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
18,6,250,88,3021,16.5,73,1,"""ford maverick"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
14,8,318,150,4237,14.5,73,1,"""plymouth fury gran sedan"""
18,6,250,78,3574,21,76,1,"""ford granada ghia"""
20.5,6,231,105,3425,16.9,77,1,"""buick skylark"""
17,6,231,110,3907,21,75,1,"""buick century"""
18,6,232,100,2945,16,73,1,"""amc hornet"""
25,4,97.5,80,2126,17,72,1,"""dodge colt hardtop"""
27,4,140,86,2790,15.6,82,1,"""ford mustang gl"""
14,8,318,150,4096,13,71,1,"""plymouth fury iii"""
15,6,258,110,3730,19,75,1,"""amc matador"""
44.6,4,91,67,1850,13.8,80,3,"""honda civic 1500 gl"""
19,6,232,100,2901,16,74,1,"""amc hornet"""
16,8,351,149,4335,14.5,77,1,"""ford thunderbird"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
32.3,4,97,67,2065,17.8,81,3,"""subaru"""
15,8,318,150,4135,13.5,72,1,"""plymouth fury iii"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
14,8,351,148,4657,13.5,75,1,"""ford ltd"""
38,4,91,67,1995,16.2,82,3,"""datsun 310 gx"""
22,6,146,97,2815,14.5,77,3,"""datsun 810"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
28,4,97,92,2288,17,72,3,"""datsun 510 (sw)"""
20.5,6,225,100,3430,17.2,78,1,"""plymouth volare"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
23,4,140,78,2592,18.5,75,1,"""pontiac astro"""
24.2,6,146,120,2930,13.8,81,3,"""datsun 810 maxima"""
22,6,250,105,3353,14.5,76,1,"""chevrolet nova"""
15,6,258,110,3730,19,75,1,"""amc matador"""
19,6,232,90,3211,17,75,1,"""amc pacer"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
21,6,155,107,2472,14,73,1,"""mercury capri v6"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
9,8,304,193,4732,18.5,70,1,"""hi 1200d"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
35.7,4,98,80,1915,14.4,79,1,"""dodge colt hatchback custom"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
23.8,4,151,85,2855,17.6,78,1,"""oldsmobile starfire sx"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
18,6,250,78,3574,21,76,1,"""ford granada ghia"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
30.9,4,105,75,2230,14.5,78,1,"""dodge omni"""
18,6,171,97,2984,14.5,75,1,"""ford pinto"""
25,4,121,115,2671,13.5,75,2,"""saab 99le"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
22.3,4,140,88,2890,17.3,79,1,"""ford fairmont 4"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
16,6,250,105,3897,18.5,75,1,"""chevroelt chevelle malibu"""
24,4,113,95,2278,15.5,72,3,"""toyota corona hardtop"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
16,8,302,140,4141,14,74,1,"""ford gran torino"""
17,6,231,110,3907,21,75,1,"""buick century"""
21.5,6,231,115,3245,15.4,79,1,"""pontiac lemans v6"""
33.8,4,97,67,2145,18,80,3,"""subaru dl"""
39.4,4,85,70,2070,18.6,78,3,"""datsun b210 gx"""
15,6,258,110,3730,19,75,1,"""amc matador"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
14,8,318,150,4237,14.5,73,1,"""plymouth fury gran sedan"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
28,4,98,80,2164,15,72,1,"""dodge colt (sw)"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
16,6,258,110,3632,18,74,1,"""amc matador"""
20.8,6,200,85,3070,16.7,78,1,"""mercury zephyr"""
25.5,4,140,89,2755,15.8,77,1,"""ford mustang ii 2+2"""
22,6,250,105,3353,14.5,76,1,"""chevrolet nova"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
14,8,318,150,4237,14.5,73,1,"""plymouth fury gran sedan"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
23.8,4,151,85,2855,17.6,78,1,"""oldsmobile starfire sx"""
18,6,232,100,2789,15,73,1,"""amc gremlin"""
30.7,6,145,76,3160,19.6,81,2,"""volvo diesel"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
21,4,120,87,2979,19.5,72,2,"""peugeot 504 (sw)"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
31.9,4,89,71,1925,14,79,2,"""vw rabbit custom"""
11,8,350,180,3664,11,73,1,"""oldsmobile omega"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
18,6,225,105,3613,16.5,74,1,"""plymouth satellite sebring"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
30,4,79,70,2074,19.5,71,2,"""peugeot 304"""
25,4,104,95,2375,17.5,70,2,"""saab 99e"""
14,8,304,150,3672,11.5,73,1,"""amc matador"""
25,4,116,81,2220,16.9,76,2,"""opel 1900"""
13,8,350,175,4100,13,73,1,"""buick century 350"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
41.5,4,98,76,2144,14.7,80,2,"""vw rabbit"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
21,6,231,110,3039,15,75,1,"""buick skyhawk"""
16.9,8,350,155,4360,14.9,79,1,"""buick estate wagon (sw)"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
24,4,116,75,2158,15.5,73,2,"""opel manta"""
14,8,302,140,4638,16,74,1,"""ford gran torino (sw)"""
13,8,302,140,4294,16,72,1,"""ford gran torino (sw)"""
19.1,6,225,90,3381,18.7,80,1,"""dodge aspen"""
26,4,108,93,2391,15.5,74,3,"""subaru"""
12,8,350,180,4499,12.5,73,1,"""oldsmobile vista cruiser"""
30,4,79,70,2074,19.5,71,2,"""peugeot 304"""
24,4,140,92,2865,16.4,82,1,"""ford fairmont futura"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
21,4,120,87,2979,19.5,72,2,"""peugeot 504 (sw)"""
44,4,97,52,2130,24.6,82,2,"""vw pickup"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
22,4,121,98,2945,14.5,75,2,"""volvo 244dl"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
13,8,350,165,4274,12,72,1,"""chevrolet impala"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
18,6,199,97,2774,15.5,70,1,"""amc hornet"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
38,4,91,67,1995,16.2,82,3,"""datsun 310 gx"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
32.7,6,168,132,2910,11.4,80,3,"""datsun 280-zx"""
18,6,225,95,3785,19,75,1,"""plymouth fury"""
23,4,115,95,2694,15,75,2,"""audi 100ls"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
19,6,232,100,2901,16,74,1,"""amc hornet"""
20,6,198,95,3102,16.5,74,1,"""plymouth duster"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
37,4,91,68,2025,18.2,82,3,"""mazda glc custom l"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
25,4,104,95,2375,17.5,70,2,"""saab 99e"""
21.5,4,121,110,2600,12.8,77,2,"""bmw 320i"""
21.5,6,231,115,3245,15.4,79,1,"""pontiac lemans v6"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
15.5,8,350,170,4165,11.4,77,1,"""chevrolet monte carlo landau"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
18.1,6,258,120,3410,15.1,78,1,"""amc concord d/l"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
27.2,4,141,71,3190,24.8,79,2,"""peugeot 504"""
30,4,98,68,2155,16.5,78,1,"""chevrolet chevette"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
27.2,4,141,71,3190,24.8,79,2,"""peugeot 504"""
32,4,85,70,1990,17,76,3,"""datsun b-210"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
38,4,91,67,1995,16.2,82,3,"""datsun 310 gx"""
26.8,6,173,115,2700,12.9,79,1,"""oldsmobile omega brougham"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
27,4,97,88,2130,14.5,71,3,"""datsun pl510"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
18,6,250,78,3574,21,76,1,"""ford granada ghia"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
24,4,113,95,2278,15.5,72,3,"""toyota corona hardtop"""
18,6,250,78,3574,21,76,1,"""ford granada ghia"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
16.9,8,350,155,4360,14.9,79,1,"""buick estate wagon (sw)"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
14,8,351,153,4129,13,72,1,"""ford galaxie 500"""
28,4,151,90,2678,16.5,80,1,"""chevrolet citation"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
32,4,91,67,1965,15.7,82,3,"""honda civic (auto)"""
16,8,302,140,4141,14,74,1,"""ford gran torino"""
