passenger_class,survived,gender,age,siblings_spouses,parents_children,fare,embarked
3,0,female,16,5,2,46.90000153,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,5,4,2,31.38750076,UK
3,0,female,6,4,2,31.27499962,UK
3,0,male,,0,0,7.895800114,UK
3,1,male,24,0,0,7.141699791,UK
3,0,male,,0,0,8.050000191,UK
2,0,male,42,1,1,32.5,UK
3,0,male,31,0,0,7.75,IR
3,0,male,,0,0,7.75,IR
1,1,female,51,0,1,39.40000153,UK
3,0,male,,0,0,7.895800114,FR
3,0,male,25,0,0,7.050000191,UK
3,0,male,35,0,0,8.050000191,UK
3,0,male,22,0,0,7.895800114,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,27,0,0,7.895800114,UK
3,0,male,36,0,0,7.895800114,UK
3,0,male,28,0,0,56.49580002,UK
3,1,male,32,0,0,7.925000191,UK
2,1,female,23,0,0,13.79170036,FR
2,1,female,36,1,0,26,UK
1,1,female,26,1,0,136.7792053,FR
1,1,female,64,1,1,26.54999924,UK
2,0,male,34,1,0,26,UK
1,1,female,25,1,0,55.44169998,FR
3,0,male,24.5,0,0,8.050000191,UK
2,1,female,40,0,0,13,UK
2,0,female,29,1,0,26,UK
3,0,male,32,0,0,22.52499962,UK
3,1,female,16,0,0,7.650000095,UK
3,1,female,30,0,0,6.949999809,IR
3,1,male,16,0,0,8.050000191,UK
1,1,female,43,1,0,55.44169998,FR
3,1,female,63,0,0,9.587499619,UK
3,0,female,14,0,0,7.854199886,UK
2,0,male,70,0,0,10.5,UK
1,0,male,55,0,0,50,UK
3,1,female,24,0,2,16.70000076,UK
2,1,female,40,0,0,13,UK
2,0,male,26,0,0,10.5,UK
3,0,male,33,0,0,7.895800114,UK
1,0,male,,0,0,0,UK
3,0,male,19,0,0,8.050000191,UK
2,0,male,22,2,0,31.5,UK
2,1,female,27,1,0,13.85830021,FR
3,0,male,9,4,2,31.38750076,UK
1,1,male,56,0,0,35.5,FR
1,1,female,29,0,0,211.3374939,UK
3,1,female,17,4,2,7.925000191,UK
3,0,female,16,5,2,46.90000153,UK
3,0,male,,0,0,7.229199886,FR
3,1,male,,0,0,7.75,IR
1,0,male,37,1,1,83.15830231,FR
1,1,male,48,1,0,76.72920227,FR
3,1,male,21,0,0,7.820799828,IR
1,0,male,36,0,0,75.24169922,FR
1,0,male,39,0,0,29.70000076,FR
1,0,male,24,0,0,79.19999695,FR
1,0,male,57,1,0,146.5207977,FR
3,0,male,,0,0,7.879199982,IR
3,0,male,26,1,0,7.854199886,UK
1,0,male,41,1,0,51.86249924,UK
3,0,male,16,0,0,9.5,UK
3,0,male,24,0,0,7.495800018,UK
2,0,male,25,0,0,10.5,UK
1,1,male,,0,0,29.70000076,FR
3,0,male,,0,0,7.25,UK
3,1,female,38,0,0,7.229199886,FR
3,0,male,16,0,0,7.775000095,UK
2,0,male,38,1,0,21,UK
2,1,female,25,0,1,26,UK
1,1,male,45,1,1,134.5,FR
3,0,female,,1,2,23.45000076,UK
3,0,male,,0,0,8.050000191,UK
3,1,male,21,0,0,7.775000095,UK
3,0,male,47,0,0,9,UK
1,0,male,54,0,1,77.28749847,UK
3,0,male,,0,0,7.895800114,UK
2,0,male,,0,0,0,UK
3,0,male,,0,0,7.550000191,UK
2,0,female,57,0,0,10.5,UK
1,1,male,45,1,1,134.5,FR
3,0,male,9,4,2,31.38750076,UK
3,0,male,,0,0,7.25,UK
1,1,male,36,0,0,26.28750038,UK
1,0,male,55,0,0,50,UK
1,1,female,40,0,0,153.4624939,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,18,2,2,34.375,UK
1,0,male,24,1,0,60,UK
3,0,male,16,1,3,34.375,UK
1,0,male,37,1,1,83.15830231,FR
3,0,male,19,0,0,7.895800114,UK
3,0,female,6,4,2,31.27499962,UK
3,0,female,2,1,1,20.21249962,UK
2,0,male,25,0,0,13,UK
3,0,male,19,0,0,6.75,IR
1,1,male,27,1,0,53.09999847,UK
1,1,female,58,0,0,26.54999924,UK
2,0,female,57,0,0,10.5,UK
3,0,male,36,0,0,9.5,UK
3,0,male,20.5,0,0,7.25,UK
3,0,female,29,1,1,10.46249962,UK
3,0,male,,0,0,7.25,UK
3,0,female,,8,2,69.55000305,UK
3,1,female,,1,0,15.5,IR
1,1,female,16,0,1,39.40000153,UK
3,0,male,37,2,0,7.925000191,UK
3,0,male,,0,0,7.879199982,UK
3,0,male,35,0,0,7.125,UK
1,1,female,21,2,2,262.375,FR
1,0,male,38,0,1,153.4624939,UK
2,0,male,21,2,0,73.5,UK
3,1,female,26,1,1,22.02499962,UK
3,0,male,16,4,1,39.6875,UK
2,0,male,,0,0,12.875,UK
2,0,male,36,0,0,12.875,FR
1,0,male,60,0,0,26.54999924,UK
3,1,male,,1,1,22.35829926,FR
3,0,male,32,0,0,7.75,IR
3,0,male,,1,0,14.45419979,FR
3,0,female,29,1,1,10.46249962,UK
1,1,male,35,0,0,26.54999924,FR
3,0,female,48,1,3,34.375,UK
3,0,female,47,1,0,14.5,UK
1,1,female,55,0,0,135.6333008,FR
3,0,male,21,0,0,7.224999905,FR
1,1,female,35,1,0,53.09999847,UK
2,0,male,32,0,0,10.5,UK
2,1,male,0.833299994,0,2,29,UK
2,1,female,22,1,2,41.57920074,FR
3,0,male,,0,0,7.895800114,UK
2,1,male,3,1,1,26,UK
1,1,male,31,0,0,28.53750038,FR
3,0,male,,0,0,7.224999905,FR
1,1,female,16,0,1,39.40000153,UK
3,0,male,22,0,0,7.25,UK
3,1,female,,1,1,22.35829926,FR
3,0,male,,0,0,7.229199886,FR
3,1,female,15,0,0,7.224999905,FR
1,0,male,54,0,0,51.86249924,UK
1,1,female,58,0,0,146.5207977,FR
1,0,male,,0,0,27.7208004,FR
3,1,female,,0,0,7.75,IR
3,0,male,28,0,0,8.050000191,UK
1,1,female,35,1,0,57.75,FR
3,1,female,15,1,0,14.45419979,FR
2,1,female,6,0,1,33,UK
2,0,male,,0,0,0,UK
1,1,female,55,0,0,27.7208004,FR
3,0,male,,0,0,6.4375,FR
2,0,male,18,0,0,11.5,UK
1,0,male,,0,0,221.7792053,UK
3,1,female,18,0,0,8.050000191,UK
3,0,female,39,0,5,29.125,IR
3,0,male,,0,0,7.895800114,UK
3,0,male,21,2,0,24.14999962,UK
1,1,female,60,0,0,76.29170227,FR
3,0,female,30,1,1,24.14999962,UK
3,1,female,22,0,0,7.75,IR
2,0,male,,0,0,0,UK
3,0,male,26,1,0,7.854199886,UK
2,0,male,27,0,0,13,UK
3,0,male,,0,0,7.25,UK
1,0,male,,0,0,227.5249939,FR
1,1,female,22,1,0,66.59999847,UK
1,1,female,60,1,4,263,UK
1,1,female,60,1,4,263,UK
3,0,male,,0,0,8.050000191,UK
3,1,male,27,0,0,7.795800209,UK
2,0,male,,0,0,10.70829964,IR
1,1,male,,0,0,26,UK
3,0,male,18,1,1,20.21249962,UK
3,0,male,,0,0,8.712499619,UK
1,1,male,,0,0,26.54999924,UK
3,0,male,,0,0,7.229199886,FR
3,0,male,,0,0,7.75,IR
2,1,female,36,1,0,26,UK
2,1,female,28,0,0,13,UK
3,1,female,0.75,2,1,19.25830078,FR
2,0,male,22,2,0,31.5,UK
3,0,female,20,1,0,9.824999809,UK
3,0,male,33,0,0,7.854199886,UK
1,0,male,39,1,0,71.28330231,FR
3,0,male,14,4,1,39.6875,UK
3,1,female,4,0,2,22.02499962,UK
3,1,male,,0,0,7.75,IR
3,0,male,27,1,0,14.45419979,FR
3,1,male,,1,1,22.35829926,FR
3,0,male,23,1,0,13.89999962,UK
1,1,female,76,1,0,78.84999847,UK
1,1,female,55,0,0,135.6333008,FR
3,1,female,31,1,1,20.52499962,UK
3,0,male,,0,0,8.050000191,UK
1,1,female,51,0,1,39.40000153,UK
2,1,female,31,1,1,26.25,UK
3,0,male,,0,0,7.25,UK
3,0,male,41,2,0,14.10830021,UK
2,1,male,,0,0,13.86250019,FR
3,0,male,,0,0,7.895800114,UK
1,1,female,24,0,0,49.50419998,FR
2,1,female,29,0,0,10.5,UK
2,0,male,32,0,0,13,UK
1,0,male,46,1,0,61.17499924,UK
3,0,female,27,1,0,7.925000191,UK
1,0,male,21,0,1,77.28749847,UK
2,1,male,19,0,0,10.5,UK
3,0,male,,0,0,7.895800114,UK
3,0,male,,0,0,7.229199886,FR
3,0,female,,0,0,7.75,IR
3,0,female,21,0,0,7.75,IR
3,1,male,,0,0,7.050000191,UK
3,0,male,26,0,0,7.895800114,UK
1,0,male,37,1,1,83.15830231,FR
3,0,male,21,0,0,7.895800114,UK
2,0,male,54,0,0,14,UK
3,1,male,6,0,1,12.47500038,UK
3,0,male,18,2,2,34.375,UK
1,1,female,26,1,0,136.7792053,FR
3,1,male,,0,0,56.49580002,UK
2,0,male,18,0,0,11.5,UK
3,0,male,,0,0,7.729199886,IR
3,1,male,25,1,0,7.775000095,UK
3,0,male,42,0,0,7.650000095,UK
3,1,male,29,0,0,7.75,IR
3,0,male,36,0,0,7.25,UK
1,1,female,16,0,1,39.40000153,UK
2,1,female,12,2,1,39,UK
3,0,male,34,1,1,14.39999962,UK
1,1,female,,0,0,27.7208004,FR
2,1,female,28,1,0,26,UK
1,1,female,23,1,0,113.2750015,FR
2,0,male,34,1,0,26,UK
3,0,male,29,0,0,7.854199886,UK
3,0,male,21,0,0,7.854199886,UK
2,1,female,19,0,0,13,UK
2,0,male,26,0,0,13,UK
1,0,male,,0,0,42.40000153,UK
3,0,male,1,4,1,39.6875,UK
3,0,female,2,3,2,27.89999962,UK
1,1,male,,0,0,30,UK
2,0,male,22,2,0,31.5,UK
3,0,male,,1,0,16.10000038,UK
1,1,female,31,0,2,164.8666992,UK
3,0,female,26,0,2,13.77499962,UK
2,0,female,29,1,0,26,UK
3,0,male,22,0,0,9.350000381,UK
3,0,male,,0,0,7.25,UK
2,0,male,,0,0,0,UK
2,1,female,12,2,1,39,UK
3,0,male,28,0,0,9.5,UK
3,0,male,30,0,0,7.229199886,FR
1,0,male,57,1,1,164.8666992,UK
3,0,male,28,2,0,7.925000191,UK
3,0,male,17,0,0,8.662500381,UK
1,0,male,50,1,0,106.4250031,FR
3,0,female,,0,0,8.050000191,UK
2,1,male,24,0,0,10.5,UK
3,1,female,38,1,5,31.38750076,UK
1,1,male,53,0,0,28.5,FR
3,1,male,9,0,1,3.170799971,UK
1,0,male,71,0,0,49.50419998,FR
3,0,male,25,0,0,7.25,UK
2,1,male,32,1,0,26,UK
3,0,male,,0,0,7.224999905,FR
3,1,male,,0,0,7.050000191,UK
1,1,male,53,1,1,81.85829926,UK
3,1,female,,0,0,7.229199886,FR
1,0,male,50,1,1,211.5,FR
3,0,male,1,5,2,46.90000153,UK
2,1,female,29,0,0,10.5,UK
1,1,female,18,1,0,227.5249939,FR
3,0,female,45,1,4,27.89999962,UK
1,1,female,22,1,0,66.59999847,UK
3,0,male,24,0,0,7.854199886,UK
3,1,female,33,3,0,15.85000038,UK
1,0,male,,0,0,221.7792053,UK
3,0,male,25,0,0,7.050000191,UK
3,1,male,,1,1,22.35829926,FR
2,0,male,25,0,0,10.5,UK
3,0,female,8,3,1,21.07500076,UK
1,1,female,,0,0,27.7208004,FR
2,0,male,18,0,0,11.5,UK
3,0,male,,0,0,7.895800114,UK
1,0,male,60,0,0,26.54999924,UK
2,1,female,45,0,0,13.5,UK
3,0,male,22,0,0,8.050000191,UK
3,0,female,,3,1,25.4666996,UK
3,0,male,30,0,0,8.050000191,UK
3,0,male,10,3,2,27.89999962,UK
3,0,male,,0,0,7.229199886,FR
3,1,female,,0,0,7.75,IR
3,0,male,,0,0,7.224999905,FR
1,1,female,43,1,0,55.44169998,FR
1,1,male,52,0,0,30.5,UK
1,1,female,27,1,1,247.5207977,FR
1,1,female,35,1,0,53.09999847,UK
2,1,female,36,0,0,13,UK
3,0,male,,0,0,7.879199982,IR
3,0,male,48,0,0,7.854199886,UK
1,0,male,38,0,0,0,UK
2,1,female,4,1,1,23,UK
1,1,female,52,1,1,93.5,UK
2,1,female,34,0,0,13,UK
3,0,male,29,0,0,7.775000095,UK
1,0,male,47,1,0,227.5249939,FR
3,0,male,22,0,0,7.895800114,UK
3,0,male,32,0,0,7.75,IR
3,0,male,32,0,0,7.925000191,UK
2,0,male,34,1,0,26,UK
3,1,female,38,0,0,7.229199886,FR
1,1,male,,0,0,29.70000076,FR
1,1,male,45,1,1,134.5,FR
2,1,female,32,0,0,13,UK
3,0,male,,0,0,7.895800114,UK
1,0,male,,0,0,30.69580078,FR
1,1,female,21,2,2,262.375,FR
3,1,female,15,1,0,14.45419979,FR
1,1,female,30,0,0,31,FR
3,0,female,,3,1,25.4666996,UK
1,1,female,64,1,1,26.54999924,UK
3,0,male,,1,0,15.5,IR
1,1,female,54,1,0,78.26670074,FR
1,0,male,,0,0,0,UK
2,0,male,18,0,0,13,UK
3,1,female,,0,0,7.720799923,IR
1,1,female,,0,1,55,UK
1,1,female,64,1,1,26.54999924,UK
1,0,male,50,1,1,211.5,FR
3,1,male,29,0,0,7.895800114,FR
1,1,female,16,0,1,39.40000153,UK
3,0,female,30,1,0,15.55000019,UK
3,0,male,,0,0,7.25,UK
1,1,female,31,1,0,113.2750015,FR
3,0,male,21,0,0,8.050000191,UK
2,1,male,24,0,0,10.5,UK
3,0,female,11,4,2,31.27499962,UK
3,0,male,24,0,0,9.5,UK
3,1,female,22,0,0,7.75,UK
3,0,female,,0,0,7.75,IR
2,1,male,0.833299994,0,2,29,UK
1,1,male,48,1,0,52,UK
3,0,male,32.5,0,0,9.5,UK
1,1,male,48,0,0,26.54999924,UK
3,0,male,23,0,0,7.050000191,UK
1,0,male,45,0,0,35.5,UK
1,1,female,,1,0,52,UK
3,0,male,,0,0,7.895800114,UK
3,0,male,,0,0,7.729199886,IR
3,0,male,36,0,0,0,UK
3,0,male,23,0,0,7.854199886,UK
1,1,female,26,0,0,78.84999847,UK
1,0,male,47,1,0,227.5249939,FR
3,1,male,,0,0,56.49580002,UK
1,0,male,,0,0,39.59999847,FR
3,0,male,,0,0,7.75,IR
3,1,male,32,0,0,7.925000191,UK
3,0,male,,0,0,8.050000191,UK
2,1,female,20,2,1,23,UK
3,0,male,,0,0,7.224999905,FR
1,1,male,4,0,2,81.85829926,UK
3,1,male,32,0,0,7.775000095,UK
3,1,female,17,4,2,7.925000191,UK
3,1,female,24,0,2,16.70000076,UK
1,0,male,24,0,1,247.5207977,FR
2,0,male,,0,0,0,UK
3,0,female,23,0,0,7.925000191,UK
2,1,female,13,0,1,19.5,UK
3,0,male,26,0,0,7.775000095,UK
3,0,male,,0,0,7.775000095,UK
2,0,male,,0,0,0,UK
1,0,male,45,0,0,26.54999924,UK
3,1,female,30,0,0,6.949999809,IR
1,0,male,49,0,0,26,UK
2,1,female,48,1,2,65,UK
3,1,female,22,0,0,8.962499619,UK
2,0,male,,0,0,15.04580021,FR
1,0,male,55,0,0,30.5,UK
2,1,male,,0,0,13,UK
2,0,male,36,0,0,12.875,FR
3,0,male,,0,0,7.879199982,IR
2,0,male,52,0,0,13.5,UK
3,0,male,40.5,0,0,7.75,IR
1,1,male,31,1,0,57,UK
2,1,female,14,1,0,30.07080078,FR
2,1,female,40,1,1,39,UK
3,0,female,6,4,2,31.27499962,UK
3,0,female,,8,2,69.55000305,UK
3,0,male,28.5,0,0,16.10000038,UK
3,0,female,20,0,0,7.854199886,UK
3,0,male,43,0,0,7.895800114,UK
2,0,male,18,0,0,13,UK
3,1,female,16,1,1,8.516699791,FR
3,0,male,24,0,0,7.795800209,UK
3,0,female,22,0,0,9.837499619,UK
3,1,male,0.833299994,0,1,9.350000381,UK
2,0,male,,0,0,0,UK
2,0,male,24,0,0,13.5,UK
3,0,male,32,0,0,22.52499962,UK
1,1,female,,1,0,89.10420227,FR
3,0,male,29,1,0,7.045800209,UK
1,1,female,55,0,0,27.7208004,FR
3,0,male,9,4,2,31.38750076,UK
3,1,male,6,0,1,12.47500038,UK
2,1,female,24,1,2,65,UK
3,0,male,8,4,1,29.125,IR
1,0,female,25,1,2,151.5500031,UK
3,0,female,30,0,0,7.629199982,IR
3,0,male,,2,0,21.67919922,FR
2,1,female,35,0,0,21,UK
2,0,male,,0,0,0,UK
3,1,female,21,0,0,7.650000095,UK
3,0,male,6,1,1,15.24580002,FR
3,0,male,24,2,0,24.14999962,UK
2,0,male,18,0,0,13,UK
3,1,male,,0,0,56.49580002,UK
2,1,male,3,1,1,26,UK
3,0,male,21,0,0,7.854199886,UK
1,0,male,38,0,1,153.4624939,UK
3,0,male,,0,0,8.050000191,UK
3,1,female,18,0,0,7.495800018,UK
3,1,male,27,0,0,8.662500381,UK
1,0,male,55,0,0,30.5,UK
3,0,female,,8,2,69.55000305,UK
3,0,female,26,1,0,16.10000038,UK
3,0,male,5,4,2,31.38750076,UK
2,0,male,34,1,0,26,UK
1,1,male,52,0,0,30.5,UK
2,0,male,70,0,0,10.5,UK
2,1,female,28,0,0,13,UK
1,1,female,22,1,0,66.59999847,UK
2,0,male,42,0,0,13,UK
3,0,male,,0,0,14.5,UK
1,0,male,21,0,1,77.28749847,UK
3,0,female,2,3,2,27.89999962,UK
3,0,male,,0,0,7.75,IR
2,1,female,1,1,2,41.57920074,FR
3,1,female,23,0,0,7.854199886,UK
1,1,male,17,0,2,110.8833008,FR
1,0,male,,0,0,221.7792053,UK
3,1,female,,0,0,7.75,IR
3,0,female,,0,0,8.137499809,IR
3,1,male,1,1,2,20.57500076,UK
2,1,female,21,0,1,21,UK
2,1,female,19,0,0,13,UK
1,1,male,36,0,0,26.28750038,UK
2,0,male,19,0,0,10.5,UK
3,0,male,,0,0,7.895800114,FR
2,0,male,43,1,1,26.25,UK
1,1,male,36,0,0,26.28750038,UK
1,1,female,19,0,2,26.2833004,UK
1,0,female,25,1,2,151.5500031,UK
3,0,male,,0,0,7.3125,UK
3,0,male,24,0,0,7.895800114,UK
3,0,male,27,0,0,7.895800114,UK
1,1,male,50,2,0,133.6499939,UK
3,0,male,20,0,0,9.5,UK
1,1,female,45,0,0,262.375,FR
3,0,male,19,0,0,7.650000095,UK
3,0,female,21,1,0,9.824999809,UK
3,0,female,24,0,0,8.850000381,UK
2,1,female,28,1,0,26,UK
3,0,male,17,1,0,7.054200172,UK
2,0,female,30,0,0,13,UK
1,1,female,26,0,0,78.84999847,UK
1,1,male,28,0,0,35.5,UK
3,1,male,30,0,0,9.5,UK
3,1,female,,1,0,24.14999962,IR
3,0,male,,0,0,7.229199886,FR
3,0,male,29,0,0,7.875,UK
3,0,male,25,0,0,7.050000191,UK
2,0,male,50,1,0,26,UK
3,0,male,6,1,1,15.24580002,FR
3,1,female,31,0,0,8.683300018,UK
1,0,male,50,1,1,211.5,FR
3,0,male,31,0,0,7.75,IR
3,1,male,20,1,0,7.925000191,UK
1,1,male,45,1,1,134.5,FR
3,0,male,33,0,0,8.662500381,FR
3,0,male,21,0,0,7.854199886,UK
3,0,female,11,4,2,31.27499962,UK
2,0,male,19,0,0,10.5,UK
3,0,male,,0,0,7.25,UK
2,1,female,36,1,0,26,UK
3,0,male,36,0,0,0,UK
3,0,male,,0,0,7.229199886,FR
1,0,male,42,0,0,26.54999924,UK
1,1,female,24,0,0,83.15830231,FR
3,0,male,40.5,0,0,15.10000038,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,21,0,0,7.800000191,UK
3,1,male,25,0,0,7.795800209,UK
3,0,male,,0,0,7.75,IR
3,0,male,65,0,0,7.75,IR
3,0,male,1,4,1,39.6875,UK
3,0,male,,0,0,7.895800114,FR
3,0,male,,0,0,7.229199886,FR
3,0,male,,0,0,7.550000191,UK
3,0,female,25,1,0,7.925000191,UK
3,0,female,2,1,1,20.21249962,UK
2,0,male,35,0,0,12.35000038,IR
3,0,male,19,0,0,7.775000095,UK
3,0,male,,0,0,7.895800114,UK
3,0,male,28,0,0,7.25,UK
2,1,female,24,0,2,14.5,UK
2,1,female,27,0,0,10.5,UK
1,1,female,33,1,0,90,IR
1,1,female,21,0,0,77.95829773,UK
2,0,male,42,1,1,32.5,UK
3,0,male,27,1,0,14.45419979,FR
2,0,male,57,0,0,12.35000038,IR
2,1,female,48,0,2,36.75,UK
3,1,male,27,0,0,8.662500381,UK
1,1,female,22,1,0,66.59999847,UK
3,0,female,,0,2,15.24580002,FR
2,1,female,28,0,0,12.64999962,UK
3,0,male,35,0,0,8.050000191,UK
3,1,male,44,0,0,7.925000191,UK
1,1,male,27,0,0,76.72920227,FR
1,1,female,17,1,0,57,UK
1,1,male,,0,0,29.70000076,FR
3,0,male,,0,0,7.75,IR
3,0,male,16,1,1,20.25,UK
3,0,female,,8,2,69.55000305,UK
3,0,male,5,4,2,31.38750076,UK
3,0,male,,0,0,7.775000095,UK
1,1,female,,0,0,27.7208004,FR
3,0,male,,0,0,9.5,UK
2,1,female,12,2,1,39,UK
3,0,male,19,0,0,7.895800114,UK
3,1,female,,0,0,7.733300209,IR
2,1,female,27,0,0,10.5,UK
3,0,male,24,0,0,7.895800114,UK
3,0,female,2,3,2,27.89999962,UK
3,0,male,,0,0,7.895800114,UK
3,0,female,29,1,1,10.46249962,UK
1,0,male,,0,0,26.54999924,UK
1,1,female,37,1,0,90,IR
1,1,female,,1,0,51.86249924,UK
3,1,male,6,0,1,12.47500038,UK
3,0,male,49,0,0,0,UK
1,0,male,46,0,0,75.24169922,FR
1,0,male,55,0,0,50,UK
3,0,female,25,1,0,7.925000191,UK
2,1,female,,0,0,33,UK
1,0,male,41,1,0,51.86249924,UK
1,1,female,,1,0,89.10420227,FR
3,1,male,9,1,1,15.89999962,UK
3,0,male,44,0,0,8.050000191,UK
3,0,male,20,0,0,7.854199886,UK
3,1,female,38,0,0,7.229199886,FR
3,0,female,,0,0,14.5,UK
3,0,female,6,4,2,31.27499962,UK
1,1,female,33,1,0,90,IR
3,0,female,14,0,0,7.854199886,UK
1,1,female,22,1,0,66.59999847,UK
3,0,male,,0,0,8.050000191,UK
3,1,female,36,0,2,15.89999962,UK
3,1,male,25,0,0,7.229199886,FR
2,0,male,,0,0,15.04580021,FR
3,0,female,2,0,1,10.46249962,UK
3,0,male,43,0,0,6.449999809,UK
3,0,female,23,0,0,8.662500381,UK
1,0,male,37,0,1,29.70000076,FR
2,1,female,54,1,3,23,UK
1,1,female,19,0,0,30,UK
2,1,female,36,1,0,26,UK
3,1,male,,0,0,7.050000191,UK
3,0,male,,0,0,7.224999905,FR
3,0,male,11,0,0,18.78750038,FR
1,0,female,25,1,2,151.5500031,UK
1,1,male,34,0,0,26.54999924,UK
1,1,male,,0,0,30.5,UK
3,0,male,,0,0,8.050000191,UK
1,1,female,19,0,0,30,UK
3,1,female,18,0,0,9.8416996,UK
1,0,male,55,0,0,30.5,UK
2,1,female,12,2,1,39,UK
2,0,male,47,0,0,10.5,UK
3,0,male,55.5,0,0,8.050000191,UK
3,1,female,,2,0,23.25,IR
1,0,male,,0,0,26.54999924,UK
1,0,male,39,1,0,71.28330231,FR
3,0,male,18.5,0,0,7.229199886,FR
1,0,male,57,1,1,164.8666992,UK
3,0,female,40,1,0,9.475000381,UK
3,0,male,26,0,0,7.775000095,UK
2,1,female,8,1,1,26,UK
1,0,male,58,0,2,113.2750015,FR
1,1,female,30,0,0,164.8666992,UK
2,0,male,32,2,0,73.5,UK
3,0,male,41,2,0,14.10830021,UK
3,0,male,26,1,0,14.45419979,FR
3,0,male,25,1,0,17.79999924,UK
3,0,male,19,0,0,7.895800114,UK
3,1,female,1,1,1,16.70000076,UK
3,0,male,19,0,0,6.75,IR
3,0,male,18,1,1,7.854199886,UK
3,0,male,,0,0,8.050000191,UK
2,1,female,1,1,2,41.57920074,FR
2,0,female,29,1,0,26,UK
1,1,male,53,0,0,28.5,FR
3,0,male,16,0,0,7.775000095,UK
1,1,female,55,0,0,27.7208004,FR
3,1,male,25,0,0,0,UK
3,0,male,32,1,0,15.85000038,UK
2,0,male,32,2,0,73.5,UK
1,0,male,,0,0,51.86249924,UK
2,0,male,34,1,0,21,UK
3,1,female,,2,0,23.25,IR
1,1,male,,0,0,29.70000076,FR
3,0,male,,0,0,14.5,UK
3,0,male,25,0,0,7.050000191,UK
2,1,male,30,0,0,12.73750019,FR
1,1,male,,0,0,30.5,UK
3,0,male,,0,0,15.5,IR
3,1,male,,0,0,7.229199886,FR
3,1,male,,0,0,7.75,IR
3,1,male,32,0,0,56.49580002,UK
3,0,female,,3,1,25.4666996,UK
3,1,male,9,0,1,3.170799971,UK
2,0,female,24,0,0,13,UK
3,0,male,,0,0,7.737500191,IR
2,0,female,29,1,0,26,UK
3,0,female,2,1,1,20.21249962,UK
1,1,male,6,0,2,134.5,FR
2,1,male,20,0,0,13.86250019,FR
1,1,male,45,1,1,134.5,FR
1,1,female,22,0,0,151.5500031,UK
3,0,male,21,0,0,7.895800114,UK
3,0,female,6,4,2,31.27499962,UK
1,1,female,35,1,0,57.75,FR
1,1,male,50,2,0,133.6499939,UK
3,1,female,24,0,2,16.70000076,UK
2,1,female,24,1,2,65,UK
3,0,female,29,1,1,10.46249962,UK
1,0,male,47,0,0,38.5,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,17,1,1,7.229199886,FR
2,0,male,26,0,0,13,UK
3,0,male,29,0,0,7.875,UK
3,0,female,28,1,1,14.39999962,UK
1,1,female,16,0,1,39.40000153,UK
3,0,male,27,0,0,7.895800114,UK
3,0,male,,0,0,8.050000191,UK
3,1,female,35,1,1,20.25,UK
2,0,male,40,0,0,13,UK
2,1,female,19,0,0,13,UK
3,0,male,70.5,0,0,7.75,IR
3,1,male,7,1,1,15.24580002,FR
3,1,female,18,0,0,7.775000095,UK
1,1,female,18,1,0,227.5249939,FR
2,1,male,29,0,0,13.85830021,FR
3,0,male,18.5,0,0,7.229199886,FR
2,1,female,36,1,0,26,UK
1,0,male,41,1,0,51.86249924,UK
2,0,male,,0,0,12.875,UK
3,0,female,48,1,3,34.375,UK
3,0,male,,0,0,7.75,IR
2,0,male,32,2,0,73.5,UK
3,0,male,30,0,0,7.229199886,FR
1,0,male,70,1,1,71,UK
3,1,female,1,1,1,11.13329983,UK
3,1,male,32,0,0,7.854199886,UK
1,1,female,39,1,1,83.15830231,FR
1,1,female,45,0,1,63.35829926,FR
1,0,male,65,0,1,61.97919846,FR
1,0,male,71,0,0,49.50419998,FR
3,0,female,6,4,2,31.27499962,UK
2,0,male,35,0,0,10.5,UK
3,0,male,,0,0,7.737500191,IR
3,0,male,,0,0,7.895800114,UK
2,1,female,6,0,1,33,UK
3,1,male,25,0,0,7.795800209,UK
1,0,female,2,1,2,151.5500031,UK
3,1,male,,0,0,7.050000191,UK
2,0,male,32,2,0,73.5,UK
3,0,male,33,1,1,20.52499962,UK
3,0,female,9,3,2,27.89999962,UK
3,0,female,29,0,0,7.925000191,UK
3,0,male,23,0,0,7.895800114,UK
1,1,female,29,0,0,211.3374939,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,24,0,0,7.854199886,UK
2,1,female,34,0,0,13,UK
3,1,female,38,0,0,7.229199886,FR
2,1,female,33,1,2,27.75,UK
3,0,male,,0,0,7.75,IR
1,0,male,47,0,0,38.5,UK
3,0,male,,0,0,7.229199886,FR
3,0,male,22,0,0,8.050000191,UK
3,0,male,10,3,2,27.89999962,UK
3,0,female,18,0,0,7.775000095,UK
3,0,male,21,0,0,7.75,IR
3,1,female,,0,0,7.75,IR
1,1,male,53,0,0,28.5,FR
2,1,female,2,1,1,26,UK
2,1,female,40,0,0,13,UK
3,0,male,,0,0,8.050000191,UK
1,1,male,34,0,0,26.54999924,UK
1,1,female,16,0,0,86.5,UK
3,1,female,22,0,0,7.775000095,UK
3,0,male,25,0,0,7.050000191,UK
3,0,male,26,0,0,7.879199982,IR
3,0,female,18,0,0,7.775000095,UK
